mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.28069429397583007,0.15969667152726066,0.01218876838684082,0.004866580737432823,10,sqrt,1,2,45,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 45}",-10057.19125435368,-5006.4823721976945,-5825.424421800666,-7542.183511638079,-9778.867233347157,-7642.029758667455,2032.496676147205,117
0.22518162727355956,0.05303751116990199,0.01217656135559082,0.004279619353457721,10,sqrt,1,2,50,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",-10254.894069040534,-4902.193695567607,-5840.092785960426,-7543.42312002677,-9813.921756382773,-7670.905085395623,2112.0325569056927,118
0.43224105834960935,0.010527454099984688,0.02120370864868164,0.0032210099948502325,10,sqrt,1,2,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-10386.454676456642,-4835.1147127530485,-6045.273718639267,-6942.315883573228,-9549.283930352165,-7551.688584354869,2099.8419178241293,112
0.1924055576324463,0.009288598755580371,0.01215667724609375,0.0033202649337283805,10,sqrt,1,5,45,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 45}",-10823.369073827556,-5570.073903538273,-5939.547894287227,-6400.585371471258,-11257.727867042953,-7998.260822033453,2501.692208374474,138
0.21753220558166503,0.010321831281754758,0.011850261688232422,0.003294282008811026,10,sqrt,1,5,50,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",-10720.594041431546,-5381.164238444647,-5997.647895313308,-6411.955185064927,-11213.09520664171,-7944.8913133792275,2493.993943051909,128
0.6074533939361573,0.1640819685770411,0.051512861251831056,0.03318665268429131,10,sqrt,1,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-11362.819748225847,-5295.635203375294,-6175.7891725669415,-6630.680589269852,-10679.186761889638,-8028.822295065514,2489.9323077315803,145
0.24365701675415039,0.025945408695747192,0.014645910263061524,0.007317382856920593,10,sqrt,1,10,45,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 45}",-11635.717102308614,-5367.235929685029,-6779.2967108410785,-6799.746468216743,-12059.019602994123,-8528.203162809117,2762.652992692538,171
0.3614387035369873,0.08377162872870854,0.018057918548583983,0.0099212170262563,10,sqrt,1,10,50,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",-11800.495131872205,-5107.440906028078,-6814.143286135214,-6787.7405894014355,-11811.964015956946,-8464.356785878776,2797.835732129363,169
0.6102905750274659,0.11307125818597484,0.02287898063659668,0.0052233979934153485,10,sqrt,1,10,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-11329.891675014622,-5162.726801978711,-6493.630740098778,-6793.550328916936,-11755.576872419062,-8307.075283685623,2701.6975559440157,163
0.2307739734649658,0.051886270428607766,0.021527862548828124,0.006340004917191743,10,sqrt,2,2,45,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 45}",-11781.608209507192,-4763.54324490513,-6336.298808041837,-6849.170472126871,-11281.23743211035,-8202.371633338276,2808.176309712096,152
0.31241731643676757,0.06757020578559032,0.02386631965637207,0.008224710976092882,10,sqrt,2,2,50,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",-11803.420637686826,-4811.192264866702,-6570.69561487238,-6843.641193591909,-11059.795237164259,-8217.748989636415,2725.430381215608,153
0.5823828220367432,0.028492544064250683,0.026733589172363282,0.0072665639735643205,10,sqrt,2,2,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-11593.342882620213,-4927.093488350578,-6266.114756617766,-7365.419209184777,-11555.667020031253,-8341.527471360918,2750.399287651599,166
0.28030881881713865,0.0803210776863318,0.008479976654052734,0.0010147125716448908,10,sqrt,2,5,45,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 45}",-11457.772333813717,-5757.469648390447,-6109.527456089714,-7249.5633664837615,-11210.627827124335,-8356.992126380395,2481.6562059800544,168
0.21100587844848634,0.02504800648849201,0.009539270401000976,0.0007949649227353387,10,sqrt,2,5,50,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",-11412.594923961231,-5796.61232064438,-6041.746526991922,-7254.9162795108305,-11080.580629544325,-8317.290136130538,2444.4729353528674,164
0.7307599544525146,0.04987261802507528,0.03321533203125,0.006887409518296155,10,sqrt,2,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-11291.342104642254,-5355.5334120688485,-5917.265025317898,-6965.239778025319,-10881.157743580168,-8082.107612726897,2510.0602271369385,151
