mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.37796554565429685,0.10892848289798635,0.04887514114379883,0.04045457002875667,10,sqrt,1,2,45,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 45}",-10057.19125435368,-5006.4823721976945,-5825.424421800666,-7542.183511638079,-9778.867233347157,-7642.029758667455,2032.496676147205,117
0.7291300296783447,0.3649941710118388,0.03473854064941406,0.02468502101510697,10,sqrt,1,2,50,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",-10254.894069040534,-4902.193695567607,-5840.092785960426,-7543.42312002677,-9813.921756382773,-7670.905085395623,2112.0325569056927,118
1.0984358310699462,0.32219742120652634,0.0637892723083496,0.044803987876114434,10,sqrt,1,2,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-10386.454676456642,-4835.1147127530485,-6045.273718639267,-6942.315883573228,-9549.283930352165,-7551.688584354869,2099.8419178241293,112
0.3659599781036377,0.011402754955155324,0.017104387283325195,0.0017145978362292588,10,sqrt,1,5,45,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 45}",-10823.369073827556,-5570.073903538273,-5939.547894287227,-6400.585371471258,-11257.727867042953,-7998.260822033453,2501.692208374474,138
0.3140772819519043,0.015847144058618194,0.015196847915649413,0.0011518997126851805,10,sqrt,1,5,50,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",-10720.594041431546,-5381.164238444647,-5997.647895313308,-6411.955185064927,-11213.09520664171,-7944.8913133792275,2493.993943051909,128
0.5526800155639648,0.05571608815204568,0.02108941078186035,0.002411849787215297,10,sqrt,1,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-11362.819748225847,-5295.635203375294,-6175.7891725669415,-6630.680589269852,-10679.186761889638,-8028.822295065514,2489.9323077315803,145
0.19949259757995605,0.009225431395858668,0.012471485137939452,0.0022723840568409136,10,sqrt,1,10,45,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 45}",-11635.717102308614,-5367.235929685029,-6779.2967108410785,-6799.746468216743,-12059.019602994123,-8528.203162809117,2762.652992692538,171
0.3262316226959229,0.05331232930763543,0.018737316131591797,0.006305144247976705,10,sqrt,1,10,50,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",-11800.495131872205,-5107.440906028078,-6814.143286135214,-6787.7405894014355,-11811.964015956946,-8464.356785878776,2797.835732129363,169
0.63490309715271,0.11552010957715711,0.04157276153564453,0.016853274378864063,10,sqrt,1,10,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-11329.891675014622,-5162.726801978711,-6493.630740098778,-6793.550328916936,-11755.576872419062,-8307.075283685623,2701.6975559440157,163
0.3450325012207031,0.12315639393851326,0.02095060348510742,0.022851171379479115,10,sqrt,2,2,45,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 45}",-11781.608209507192,-4763.54324490513,-6336.298808041837,-6849.170472126871,-11281.23743211035,-8202.371633338276,2808.176309712096,152
